"iteration","modelnum","model","random_slope","formula","snp","aic_qic","converged","interaction","beta","p"
6,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_lb",26650.9247855496,1,"snp:time","-0.0058 (-0.011 - -0.00049)",0.032
6,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_lb",26288.2491467966,1,"snp:time","-0.0047 (-0.0099 - 0.00063)",0.084
6,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_lb",26420.6490554237,1,"snp:age","-0.0034 (-0.0045 - -0.0023)",2.7e-09
6,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_lb",26613.9701577498,1,"snp:age","-0.0031 (-0.004 - -0.0022)",1.9e-11
6,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26625.8422339726,1,"snp:age","-0.0031 (-0.004 - -0.0021)",1.9e-10
6,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26625.8422339726,1,"snp:time","-8.7e-05 (-0.0057 - 0.0055)",0.98
6,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_lb",27014.454944249,1,"snp:time","-0.0057 (-0.011 - -0.00019)",0.043
7,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_rd",25945.6978053171,1,"snp:time","-0.024 (-0.029 - -0.018)",6.2e-18
7,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_rd",25963.426992441,1,"snp:time","-0.018 (-0.024 - -0.013)",1.1e-11
7,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_rd",25550.972954209,1,"snp:age","-0.01 (-0.011 - -0.0093)",6.2e-92
7,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_rd",25409.9950513782,1,"snp:age","-0.01 (-0.011 - -0.0094)",1.5e-134
7,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25418.9357923025,1,"snp:age","-0.01 (-0.011 - -0.0092)",7.9e-120
7,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25418.9357923025,1,"snp:time","-0.0049 (-0.01 - 0.00067)",0.085
7,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_rd",26351.8199202618,1,"snp:time","-0.024 (-0.029 - -0.019)",1.1e-17
